Time,u1,u2,y1,y2
2010-01-01 00:03:30,1.0,26.0,50.54508982919054,36153.57945211795
2010-01-01 00:03:40,1.0,26.0,50.457269376492214,36129.76446597496
2010-01-01 00:03:50,1.0,26.0,43.43055287573691,36110.91293504729
2010-01-01 00:04:00,1.0,26.0,51.83055071741961,36093.48795428213
2010-01-01 00:04:10,1.0,26.0,44.591243474589646,36072.71250444448
2010-01-01 00:04:20,1.0,26.0,48.55243721445632,36050.94407430259
2010-01-01 00:04:30,1.0,26.0,44.50428239670388,36034.579986833436
2010-01-01 00:04:40,1.0,26.0,50.23907652559001,36011.333286634705
2010-01-01 00:04:50,1.0,26.0,40.3639291121821,35992.90149683836
2010-01-01 00:05:00,1.0,26.0,47.82740303585012,35972.10279206584
2010-01-01 00:05:10,1.0,26.0,46.89908200573625,35954.377278655986
2010-01-01 00:05:20,1.0,26.0,45.95917533849021,35936.63966254445
2010-01-01 00:05:30,1.0,26.0,49.337503835183234,35913.27146134973
2010-01-01 00:05:40,1.0,26.0,46.729169862213325,35894.58343924087
2010-01-01 00:05:50,1.0,26.0,46.45957849608519,35874.27957304164
2010-01-01 00:06:00,1.0,26.0,45.142496646371626,35852.535748238304
2010-01-01 00:06:10,1.0,26.0,41.737548211023174,35837.918684911136
2010-01-01 00:06:20,1.0,26.0,53.75340644175156,35817.76723408345
2010-01-01 00:06:30,1.0,26.0,57.66586932282005,35790.13203924362
2010-01-01 00:06:40,1.0,26.0,47.31535462675451,35776.92512910586
2010-01-01 00:06:50,1.0,26.0,44.267374601861846,35756.372613335785
2010-01-01 00:07:00,1.0,26.0,46.42247981978781,35732.76988686099
2010-01-01 00:07:10,1.0,26.0,47.16555723086199,35717.4711260153
2010-01-01 00:07:20,1.0,26.0,47.6940055243529,35698.559931126925
2010-01-01 00:07:30,1.0,26.0,43.983116381244514,35678.24267698942
2010-01-01 00:07:40,1.0,26.0,40.305488691199045,35652.95035152775
2010-01-01 00:07:50,1.0,26.0,50.6354096186064,35636.48204086207
2010-01-01 00:08:00,1.0,26.0,52.55929689798772,35620.6726072658
2010-01-01 00:08:10,1.0,26.0,39.741450181349116,35593.19238619924
2010-01-01 00:08:20,1.0,26.0,37.81075885229017,35574.5574364324
2010-01-01 00:08:30,1.0,26.0,45.89345932689931,35556.436976682744
2010-01-01 00:08:40,1.0,26.0,43.436982806260325,35537.79239855684
2010-01-01 00:08:50,1.0,26.0,51.52106146699355,35519.515385259736
2010-01-01 00:09:00,1.0,26.0,42.153317326805215,35497.31144896217
2010-01-01 00:09:10,1.0,26.0,46.77097256738815,35478.19067936358
2010-01-01 00:09:20,1.0,26.0,53.982632630233496,35457.8308155796
2010-01-01 00:09:30,1.0,26.0,46.0213118014118,35436.54739313394
2010-01-01 00:09:40,1.0,26.0,48.183942387790694,35421.31199632861
2010-01-01 00:09:50,1.0,26.0,54.38252753398315,35398.22688421679
2010-01-01 00:10:00,1.0,26.0,44.89871799927219,35382.894245622236
2010-01-01 00:10:10,1.0,26.0,44.6226992748396,35360.05890359791
2010-01-01 00:10:20,1.0,26.0,49.92277037320988,35339.80193056225
2010-01-01 00:10:30,1.0,26.0,43.469065994826195,35317.501418581385
2010-01-01 00:10:40,1.0,26.0,50.70939296611732,35299.19271125559
